title,duration,description,genre,base_price
"The Spongebob Movie Search For Squarepants",96,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following the Flying Dutchman, a mysterious swashbuckling ghost pirate, to the deepest depths of the deep sea.",animation,10
"We Bury the Dead",95,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",horror,8
"The Housemaid",131,"A struggling young woman is relieved by the chance for a fresh start as a maid for a wealthy couple. Soon, she discovers that the family's secrets are far more dangerous than her own.",thriller,8
"Anaconda",100,"A group of friends are going through a mid-life crisis. They decide to remake a favorite movie from their youth but encounter unexpected events when they enter the jungle.",comedy,5
North,91,"Young Gerda sets off into the great unknown in search of her friend Kai, who has mysteriously vanished.",animation,5
"Zootopia 2",108,"Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers.",animation,10
"Rental Family",110,"An American actor in Tokyo struggling to find purpose lands an unusual gig: working for a Japanese 'rental family' agency, playing stand-in roles for strangers. He rediscovers purpose, belonging, and the beauty of human connection.",drama,6
"Avatar Fire and Ash",187,"Jake and Neytiri's family grapples with grief, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora escalates and a new moral focus emerges.",sf,10
"Greenland 2",98,"The surviving Garrity family must leave the safety of the Greenland bunker and embark on a perilous journey across the decimated frozen wasteland of Europe to find a new home.",action,7
"Stitch Head",92,"Follows Stitch Head, a small creature awoken by a Mad Professor in a castle to protect the professor's other creations from the townspeople of Grubbers Nubbin.",animation,6
