screen_id,row,number,type
1,a,1,regular
1,a,2,regular
1,a,3,regular
1,a,4,regular
1,a,5,regular
1,a,6,disability
1,a,7,disability
1,a,8,regular
1,a,9,regular
1,a,10,regular
1,b,1,regular
1,b,2,regular
1,b,3,regular
1,b,4,regular
1,b,5,regular
1,b,6,regular
1,b,7,regular
1,b,8,couples
1,b,9,couples
1,b,10,regular
1,b,11,regular
1,c,1,regular
1,c,2,regular
1,c,3,regular
1,c,4,regular
1,c,5,regular
1,c,6,couples
1,c,7,couples
1,c,8,regular
1,c,9,regular
1,c,10,regular
1,c,11,regular
1,d,1,regular
1,d,2,regular
1,d,3,regular
1,d,4,regular
1,d,5,regular
1,d,6,regular
1,d,7,regular
1,d,8,regular
1,d,9,regular
1,d,10,regular
1,d,11,regular
1,e,1,regular
1,e,2,regular
1,e,3,regular
1,e,4,regular
1,e,5,regular
1,e,6,couples
1,e,7,couples
1,e,8,regular
1,e,9,regular
1,e,10,regular
1,e,11,regular
1,f,1,vip
1,f,2,vip
1,f,3,vip
1,f,4,vip
1,f,5,vip
1,f,6,vip
1,f,7,vip
1,f,8,vip
1,f,9,vip
1,g,1,vip
1,g,2,vip
1,g,3,vip
1,g,4,vip
1,g,5,vip
1,g,6,vip
1,g,7,vip
1,g,8,vip
1,g,9,vip
1,h,1,vip
1,h,2,vip
1,h,3,vip
1,h,4,vip
1,h,5,vip
1,h,6,vip
1,h,7,vip
1,h,8,vip
1,h,9,vip
1,i,1,royal
1,i,2,royal
1,i,3,royal
1,i,4,royal
1,i,5,royal
1,i,6,royal
1,i,7,royal
1,i,8,royal
1,i,9,royal
1,i,10,royal
1,i,11,royal
1,i,12,royal
2,a,1,regular
2,a,2,regular
2,a,3,regular
2,a,4,regular
2,a,5,regular
2,a,6,regular
2,a,7,regular
2,a,8,regular
2,a,9,regular
2,b,1,regular
2,b,2,regular
2,b,3,regular
2,b,4,regular
2,b,5,regular
2,b,6,regular
2,b,7,regular
2,b,8,regular
2,b,9,regular
2,c,1,regular
2,c,2,regular
2,c,3,regular
2,c,4,regular
2,c,5,regular
2,c,6,regular
2,c,7,regular
2,c,8,regular
2,c,9,regular
2,d,1,regular
2,d,2,regular
2,d,3,regular
2,d,4,regular
2,d,5,regular
2,d,6,regular
2,d,7,regular
2,d,8,regular
2,d,9,regular
2,d,10,regular
2,d,11,regular
2,e,1,regular
2,e,2,regular
2,e,3,regular
2,e,4,regular
2,e,5,regular
2,e,6,regular
2,e,7,regular
2,e,8,regular
2,e,9,regular
2,e,10,regular
2,e,11,regular
2,f,1,regular
2,f,2,regular
2,f,3,regular
2,f,4,regular
2,f,5,regular
2,f,6,regular
2,f,7,regular
2,f,8,regular
2,f,9,regular
2,f,10,regular
2,f,11,regular
2,f,12,regular
2,f,13,regular
3,a,1,regular
3,a,2,regular
3,a,3,regular
3,a,4,regular
3,a,5,regular
3,a,6,regular
3,a,7,regular
3,a,8,regular
3,a,9,regular
3,a,10,regular
3,a,11,disability
3,a,12,disability
3,a,13,regular
3,a,14,regular
3,a,15,regular
3,a,16,regular
3,a,17,regular
3,a,18,regular
3,a,19,regular
3,b,1,regular
3,b,2,regular
3,b,3,regular
3,b,4,regular
3,b,5,couples
3,b,6,couples
3,b,7,regular
3,b,8,regular
3,b,9,regular
3,b,10,regular
3,b,11,regular
3,b,12,regular
3,b,13,regular
3,b,14,regular
3,b,15,regular
3,b,16,regular
3,b,17,regular
3,b,18,regular
3,b,19,regular
3,b,20,regular
3,c,1,regular
3,c,2,regular
3,c,3,regular
3,c,4,regular
3,c,5,regular
3,c,6,regular
3,c,7,regular
3,c,8,regular
3,c,9,regular
3,c,10,regular
3,c,11,regular
3,c,12,regular
3,c,13,regular
3,c,14,couples
3,c,15,couples
3,c,16,regular
3,c,17,regular
3,c,18,regular
3,c,19,regular
3,c,20,regular
3,d,1,regular
3,d,2,regular
3,d,3,regular
3,d,4,regular
3,d,5,regular
3,d,6,regular
3,d,7,couples
3,d,8,couples
3,d,9,regular
3,d,10,regular
3,d,11,regular
3,d,12,regular
3,d,13,regular
3,d,14,regular
3,d,15,regular
3,d,16,regular
3,d,17,regular
3,d,18,regular
3,d,19,regular
3,d,20,regular
3,e,1,regular
3,e,2,regular
3,e,3,regular
3,e,4,regular
3,e,5,regular
3,e,6,regular
3,e,7,regular
3,e,8,regular
3,e,9,regular
3,e,10,regular
3,e,11,regular
3,e,12,regular
3,e,13,regular
3,e,14,regular
3,e,15,couples
3,e,16,couples
3,e,17,regular
3,e,18,regular
3,e,19,regular
3,e,20,regular
3,f,1,vip
3,f,2,vip
3,f,3,vip
3,f,4,vip
3,f,5,vip
3,f,6,vip
3,f,7,vip
3,f,8,vip
3,f,9,vip
3,f,10,vip
3,f,11,vip
3,f,12,vip
3,f,13,vip
3,g,1,vip
3,g,2,vip
3,g,3,vip
3,g,4,vip
3,g,5,vip
3,g,6,vip
3,g,7,vip
3,g,8,vip
3,g,9,vip
3,g,10,vip
3,g,11,vip
3,g,12,vip
3,g,13,vip
3,g,14,vip
3,g,15,vip
3,h,1,vip
3,h,2,vip
3,h,3,vip
3,h,4,vip
3,h,5,vip
3,h,6,vip
3,h,7,vip
3,h,8,vip
3,h,9,vip
3,h,10,vip
3,h,11,vip
3,h,12,vip
3,h,13,vip
3,h,14,vip
3,h,15,vip
3,i,1,royal
3,i,2,royal
3,i,3,royal
3,i,4,royal
3,i,5,royal
3,i,6,royal
3,i,7,royal
3,i,8,royal
3,i,9,royal
3,i,10,royal
3,i,11,royal
3,i,12,royal
3,i,13,royal
3,i,14,royal
3,i,15,royal
3,i,16,royal
3,i,17,royal
3,i,18,royal
3,i,19,royal
3,i,20,royal
4,a,1,regular
4,a,2,regular
4,a,3,regular
4,a,4,regular
4,a,5,regular
4,a,6,regular
4,a,7,regular
4,a,8,disability
4,a,9,disability
4,a,10,regular
4,a,11,regular
4,a,12,regular
4,a,13,regular
4,a,14,regular
4,a,15,regular
4,b,1,regular
4,b,2,regular
4,b,3,couples
4,b,4,couples
4,b,5,regular
4,b,6,regular
4,b,7,regular
4,b,8,regular
4,b,9,regular
4,b,10,regular
4,b,11,regular
4,b,12,regular
4,b,13,regular
4,b,14,regular
4,b,15,regular
4,b,16,regular
4,c,1,regular
4,c,2,regular
4,c,3,regular
4,c,4,regular
4,c,5,regular
4,c,6,regular
4,c,7,regular
4,c,8,regular
4,c,9,regular
4,c,10,regular
4,c,11,regular
4,c,12,regular
4,c,13,couples
4,c,14,couples
4,c,15,regular
4,c,16,regular
4,d,1,regular
4,d,2,regular
4,d,3,regular
4,d,4,regular
4,d,5,regular
4,d,6,couples
4,d,7,couples
4,d,8,regular
4,d,9,regular
4,d,10,regular
4,d,11,regular
4,d,12,regular
4,d,13,regular
4,d,14,regular
4,d,15,regular
4,d,16,regular
4,e,1,regular
4,e,2,regular
4,e,3,regular
4,e,4,regular
4,e,5,regular
4,e,6,regular
4,e,7,regular
4,e,8,regular
4,e,9,couples
4,e,10,couples
4,e,11,regular
4,e,12,regular
4,e,13,regular
4,e,14,regular
4,e,15,regular
