movie_id,screen_id,start_time,end_time,subtitles,3d,dubbed
1,1,2026-01-04 17:30:00,"",0,1,1
1,2,2026-01-04 11:15:00,"",0,1,1
1,3,2026-01-04 11:55:00,"",0,0,1
1,3,2026-01-04 14:30:00,"",0,1,1
1,2,2026-01-04 15:45:00,"",0,0,1
1,2,2026-01-04 18:30:00,"",0,0,1
1,2,2026-01-03 11:15:00,"",0,1,1
1,3,2026-01-03 11:55:00,"",0,0,1
1,3,2026-01-03 14:30:00,"",0,1,1
1,2,2026-01-03 15:45:00,"",0,0,1
1,1,2026-01-03 17:30:00,"",0,1,1
1,3,2026-01-03 18:30:00,"",0,0,1
2,1,2026-01-03 19:30:00,"",1,0,0
2,4,2026-01-03 22:30:00,"",1,0,0
2,1,2026-01-04 19:30:00,"",1,0,0
2,4,2026-01-04 22:30:00,"",1,0,0
3,2,2026-01-03 20:15:00,"",1,0,0
3,2,2026-01-03 22:45:00,"",1,0,0
3,2,2026-01-04 20:15:00,"",1,0,0
4,1,2026-01-03 21:25:00,"",1,0,0
4,1,2026-01-04 21:25:00,"",1,0,0
5,1,2026-01-03 11:45:00,"",0,0,1
5,1,2026-01-04 11:45:00,"",0,0,1
6,5,2026-01-03 11:30:00,"",0,0,1
6,5,2026-01-03 14:15:00,"",0,0,1
6,5,2026-01-04 11:30:00,"",0,0,1
6,5,2026-01-04 14:15:00,"",0,0,1
